Fecha;Hora;Temperatura (C);Humedad (%);CO (ppm);CO2 (ppm);Latitud;Longitud;Altitud (m);Velocidad (km/h);HDOP
21/11/2025;11:49:29;35.0;61.2;0.00;689;-3.744655;-73.248073;127.5;0.65;3.71
21/11/2025;11:49:29;35.0;61.2;0.01;689;-3.744655;-73.248073;127.5;0.65;3.71
21/11/2025;11:49:29;35.0;61.2;0.00;689;-3.744655;-73.248073;127.5;0.65;3.71
21/11/2025;11:49:29;35.0;61.2;0.01;689;-3.744655;-73.248072;127.5;0.20;3.71
21/11/2025;11:49:29;35.0;61.2;0.01;688;-3.744655;-73.248072;127.5;0.20;3.71
21/11/2025;11:49:30;35.0;61.2;0.00;688;-3.744655;-73.248072;127.5;0.20;3.71
21/11/2025;11:49:30;35.0;61.2;0.01;688;-3.744655;-73.248072;127.5;0.20;3.71
21/11/2025;11:49:30;35.0;61.2;0.00;688;-3.744655;-73.248072;127.5;0.20;3.71
21/11/2025;11:49:30;35.0;61.2;0.00;688;-3.744655;-73.248072;127.5;0.02;3.71
21/11/2025;11:49:30;35.0;61.2;0.01;688;-3.744655;-73.248072;127.4;0.02;3.71
21/11/2025;11:49:31;35.0;61.3;0.00;688;-3.744655;-73.248072;127.4;0.02;3.71
21/11/2025;11:49:31;35.0;61.3;0.01;688;-3.744655;-73.248072;127.4;0.02;3.71
21/11/2025;11:49:31;35.0;61.3;0.01;688;-3.744655;-73.248072;127.4;0.02;3.71
21/11/2025;11:49:31;35.0;61.3;0.00;688;-3.744655;-73.248073;127.4;0.06;3.71
21/11/2025;11:49:31;35.0;61.3;0.00;688;-3.744655;-73.248073;127.4;0.06;3.71
21/11/2025;11:49:32;35.0;61.3;0.00;688;-3.744655;-73.248073;127.4;0.06;3.71
21/11/2025;11:49:32;35.0;61.3;0.00;688;-3.744655;-73.248073;127.4;0.06;3.71
21/11/2025;11:49:32;35.0;61.3;0.01;688;-3.744655;-73.248073;127.4;0.06;3.71
21/11/2025;11:49:32;35.0;61.3;0.00;688;-3.744655;-73.248073;127.4;0.11;3.71
21/11/2025;11:49:32;35.0;61.3;0.01;686;-3.744655;-73.248073;127.7;0.11;3.71
21/11/2025;11:49:33;35.0;61.3;0.00;686;-3.744655;-73.248073;127.7;0.11;3.71
21/11/2025;11:49:33;35.1;61.2;0.00;686;-3.744655;-73.248073;127.7;0.11;3.71
21/11/2025;11:49:33;35.1;61.2;0.01;686;-3.744655;-73.248073;127.7;0.11;3.71
21/11/2025;11:49:33;35.1;61.2;0.01;686;-3.744657;-73.248073;127.7;0.17;3.71
21/11/2025;11:49:33;35.1;61.2;0.00;685;-3.744657;-73.248073;127.8;0.17;3.71
21/11/2025;11:49:34;35.1;61.2;0.01;685;-3.744657;-73.248073;127.8;0.17;3.71
21/11/2025;11:49:34;35.1;61.2;0.01;685;-3.744657;-73.248073;127.8;0.17;3.71
21/11/2025;11:49:34;35.1;61.2;0.01;685;-3.744657;-73.248073;127.8;0.17;3.71
21/11/2025;11:49:34;35.1;61.2;0.00;685;-3.744657;-73.248073;127.8;0.17;3.71
21/11/2025;11:49:34;35.1;61.2;0.00;685;-3.744653;-73.248069;127.0;0.52;3.71
21/11/2025;11:49:35;35.1;61.2;0.00;685;-3.744653;-73.248069;127.0;0.52;3.71
21/11/2025;11:49:35;35.1;61.2;0.00;685;-3.744653;-73.248069;127.0;0.52;3.71
21/11/2025;11:49:35;35.1;60.9;0.01;685;-3.744653;-73.248069;127.0;0.52;3.71
21/11/2025;11:49:35;35.1;60.9;0.00;685;-3.744653;-73.248069;127.0;0.52;3.71
21/11/2025;11:49:35;35.1;60.9;0.00;685;-3.744657;-73.248070;128.8;0.54;3.71
21/11/2025;11:49:36;35.1;60.9;0.00;686;-3.744657;-73.248070;128.8;0.54;3.71
21/11/2025;11:49:36;35.1;60.9;0.01;686;-3.744657;-73.248070;128.8;0.54;3.71
21/11/2025;11:49:36;35.1;60.9;0.00;686;-3.744657;-73.248070;128.8;0.54;3.71
21/11/2025;11:49:36;35.1;60.9;0.01;686;-3.744657;-73.248070;128.8;0.54;3.71
21/11/2025;11:49:36;35.1;60.9;0.01;686;-3.744661;-73.248070;129.1;0.19;3.71
21/11/2025;11:49:37;35.1;60.9;0.00;687;-3.744661;-73.248070;129.1;0.19;3.71
21/11/2025;11:49:37;35.1;60.9;0.01;687;-3.744661;-73.248070;129.1;0.19;3.71
21/11/2025;11:49:37;35.1;60.9;0.00;687;-3.744661;-73.248070;129.1;0.19;3.71
21/11/2025;11:49:37;35.1;60.8;0.00;687;-3.744661;-73.248070;129.1;0.19;3.71
21/11/2025;11:49:37;35.1;60.8;0.00;687;-3.744668;-73.248072;130.1;0.04;3.71
21/11/2025;11:49:38;35.1;60.8;0.01;689;-3.744668;-73.248072;130.1;0.04;3.71
21/11/2025;11:49:38;35.1;60.8;0.01;689;-3.744668;-73.248072;130.1;0.04;3.71
21/11/2025;11:49:38;35.1;60.8;0.00;689;-3.744668;-73.248072;130.1;0.04;3.71
21/11/2025;11:49:38;35.1;60.8;0.00;689;-3.744668;-73.248072;130.1;0.04;3.71
21/11/2025;11:49:38;35.1;60.8;0.00;689;-3.744674;-73.248074;130.1;0.35;3.71
21/11/2025;11:49:39;35.1;60.8;0.01;692;-3.744674;-73.248074;130.7;0.35;3.71
21/11/2025;11:49:39;35.1;60.8;0.00;692;-3.744674;-73.248074;130.7;0.35;3.71
21/11/2025;11:49:39;35.1;60.8;0.00;692;-3.744674;-73.248074;130.7;0.35;3.71
21/11/2025;11:49:39;35.1;60.8;0.00;692;-3.744674;-73.248074;130.7;0.35;3.71
21/11/2025;11:49:39;35.1;60.6;0.00;692;-3.744683;-73.248077;130.7;0.50;3.71
21/11/2025;11:49:40;35.1;60.6;0.00;695;-3.744683;-73.248077;130.8;0.50;3.71
21/11/2025;11:49:40;35.1;60.6;0.00;695;-3.744683;-73.248077;130.8;0.50;3.71
21/11/2025;11:49:40;35.1;60.6;0.00;695;-3.744683;-73.248077;130.8;0.50;3.71
21/11/2025;11:49:40;35.1;60.6;0.00;695;-3.744683;-73.248077;130.8;0.50;3.71
21/11/2025;11:49:40;35.1;60.6;0.01;695;-3.744689;-73.248080;130.8;1.17;3.71
21/11/2025;11:49:40;35.1;60.6;0.00;695;-3.744689;-73.248080;130.0;1.17;3.71
21/11/2025;11:49:41;35.1;60.6;0.00;699;-3.744689;-73.248080;130.0;1.17;3.71
21/11/2025;11:49:41;35.1;60.6;0.00;699;-3.744689;-73.248080;130.0;1.17;3.71
21/11/2025;11:49:41;35.1;60.6;0.00;699;-3.744689;-73.248080;130.0;1.17;3.71
21/11/2025;11:49:41;35.1;60.6;0.01;699;-3.744689;-73.248080;130.0;1.17;3.44
21/11/2025;11:49:41;35.1;60.1;0.00;699;-3.744689;-73.248080;130.0;1.17;3.44
21/11/2025;11:49:42;35.1;60.1;0.00;705;-3.744689;-73.248080;130.0;1.17;3.44
21/11/2025;11:49:42;35.1;60.1;0.00;705;-3.744689;-73.248080;130.0;1.17;3.44
21/11/2025;11:49:42;35.1;60.1;0.00;705;-3.744689;-73.248080;130.0;1.17;3.44
21/11/2025;11:49:42;35.1;60.1;0.00;705;-3.744689;-73.248080;130.0;1.17;3.44
21/11/2025;11:49:42;35.1;60.1;0.00;705;-3.744689;-73.248080;130.0;1.17;3.44
21/11/2025;11:49:43;35.1;60.1;0.00;710;-3.744689;-73.248080;130.0;1.17;3.44
21/11/2025;11:49:43;35.1;60.1;0.00;710;-3.744689;-73.248080;130.0;1.17;3.44
21/11/2025;11:49:43;35.1;60.1;0.00;710;-3.744689;-73.248080;130.0;1.17;3.44
21/11/2025;11:49:43;35.1;60.1;0.00;710;-3.744689;-73.248080;130.0;1.17;3.44
21/11/2025;11:49:43;35.1;60.1;0.00;710;-3.744689;-73.248080;130.0;1.17;3.44
21/11/2025;11:49:44;35.1;60.0;0.00;713;-3.744689;-73.248080;130.0;1.17;3.44
21/11/2025;11:49:44;35.1;60.0;0.00;713;-3.744689;-73.248080;130.0;1.17;3.44
21/11/2025;11:49:44;35.1;60.0;0.00;713;-3.744689;-73.248080;130.0;1.17;3.44
21/11/2025;11:49:44;35.1;60.0;0.00;713;-3.744689;-73.248080;130.0;1.17;3.44
21/11/2025;11:49:44;35.1;60.0;0.01;713;-3.744689;-73.248080;130.0;1.17;3.44
21/11/2025;11:49:45;35.1;60.0;0.00;717;-3.744689;-73.248080;130.0;1.17;3.44
21/11/2025;11:49:45;35.1;60.0;0.00;717;-3.744689;-73.248080;130.0;1.17;3.44
21/11/2025;11:49:45;35.1;60.0;0.01;717;-3.744689;-73.248080;130.0;1.17;3.44
21/11/2025;11:49:45;35.1;60.0;0.01;717;-3.744689;-73.248080;130.0;1.17;3.44
21/11/2025;11:49:45;35.1;60.0;0.00;717;-3.744749;-73.248168;87.1;0.07;3.44
